polymer_1,polymer_p2,ratio_1_2,filler_1,wt_l1,filler_2,wt_l2,foaming,conductivity,owner
HDPE,,,SWCNT,1,,,0,,data set 7
HDPE,,,SWCNT,2,,,0,,data set 7
HDPE,,,SWCNT,3,,,0,,data set 7
HDPE,,,SWCNT,4,,,0,,data set 7
HDPE,,,SWCNT,5,,,0,,data set 7
HDPE,,,SWCNT,6,,,0,,data set 7
HDPE,,,SWCNT,7,,,0,,data set 7
HDPE,,,SWCNT,8,,,0,,data set 7
HDPE,,,SWCNT,9,,,0,,data set 7
HDPE,,,SWCNT,10,,,0,,data set 7
HDPE,,,SWCNT,11,,,0,,data set 7
HDPE,,,SWCNT,12,,,0,,data set 7
HDPE,,,SWCNT,13,,,0,,data set 7
HDPE,,,SWCNT,14,,,0,,data set 7
HDPE,,,SWCNT,15,,,0,,data set 7
HDPE,,,SWCNT,16,,,0,,data set 7
HDPE,,,SWCNT,17,,,0,,data set 7
HDPE,,,SWCNT,18,,,0,,data set 7
HDPE,,,SWCNT,19,,,0,,data set 7
HDPE,,,SWCNT,20,,,0,,data set 7
HDPE,,,SWCNT,21,,,0,,data set 7
HDPE,,,SWCNT,22,,,0,,data set 7
HDPE,,,SWCNT,23,,,0,,data set 7
HDPE,,,SWCNT,24,,,0,,data set 7
HDPE,,,SWCNT,25,,,0,,data set 7
HDPE,,,SWCNT,26,,,0,,data set 7
HDPE,,,SWCNT,27,,,0,,data set 7
HDPE,,,SWCNT,28,,,0,,data set 7
HDPE,,,SWCNT,29,,,0,,data set 7
HDPE,,,SWCNT,30,,,0,,data set 7
HDPE,,,SWCNT,31,,,0,,data set 7
HDPE,,,SWCNT,32,,,0,,data set 7
HDPE,,,SWCNT,33,,,0,,data set 7
HDPE,,,SWCNT,34,,,0,,data set 7
HDPE,,,SWCNT,35,,,0,,data set 7
HDPE,,,SWCNT,36,,,0,,data set 7
HDPE,,,SWCNT,37,,,0,,data set 7
HDPE,,,SWCNT,38,,,0,,data set 7
HDPE,,,SWCNT,39,,,0,,data set 7
HDPE,,,SWCNT,40,,,0,,data set 7
HDPE,,,SWCNT,41,,,0,,data set 7
HDPE,,,SWCNT,42,,,0,,data set 7
HDPE,,,SWCNT,43,,,0,,data set 7
HDPE,,,SWCNT,44,,,0,,data set 7
HDPE,,,SWCNT,45,,,0,,data set 7
HDPE,,,SWCNT,46,,,0,,data set 7
HDPE,,,SWCNT,47,,,0,,data set 7
HDPE,,,SWCNT,48,,,0,,data set 7
HDPE,,,SWCNT,49,,,0,,data set 7
HDPE,,,SWCNT,50,,,0,,data set 7
