polymer_1,polymer_p2,ratio_1_2,filler_1,wt_l1,filler_2,wt_l2,foaming,conductivity,owner
HDPE,,,MWCNT,5.795633437756958,,,0,3.2163390508210745,data set 1
HDPE,,,MWCNT,1.4397980959680994,,,0,0.04684198039988502,data set 1
HDPE,,,MWCNT,22.505752175219914,,,0,68.0550690183354,data set 1
HDPE,,,MWCNT,5.04113383000317,,,0,2.7187256872226424,data set 1
HDPE,,,MWCNT,4.574913049685319,,,0,1.5242772712216035,data set 1
HDPE,,,MWCNT,7.252976489521735,,,0,3.0205599890200516,data set 1
HDPE,,,MWCNT,20.02292568660037,,,0,53.698635240771644,data set 1
HDPE,,,MWCNT,7.806909938469643,,,0,3.3591909981248866,data set 1
HDPE,,,MWCNT,20.197018636478237,,,0,49.91005189824586,data set 1
HDPE,,,MWCNT,9.194850901857539,,,0,7.572148469031389,data set 1
HDPE,,,MWCNT,7.261047197472596,,,0,6.73015150932891,data set 1
HDPE,,,MWCNT,5.545576239883973,,,0,2.5269371404279353,data set 1
HDPE,,,MWCNT,9.267081058477311,,,0,10.63987755192768,data set 1
HDPE,,,MWCNT,24.99514932510896,,,0,47.820539394620695,data set 1
HDPE,,,MWCNT,12.037695128913024,,,0,6.722031646283677,data set 1
HDPE,,,MWCNT,8.2210166522882,,,0,7.953801609514883,data set 1
HDPE,,,MWCNT,10.776121203923132,,,0,13.321794516919805,data set 1
HDPE,,,MWCNT,5.0122738874241355,,,0,2.6665638262201163,data set 1
HDPE,,,MWCNT,5.82913302422591,,,0,3.765861966009499,data set 1
HDPE,,,MWCNT,7.742768663667031,,,0,3.4777946097639933,data set 1
HDPE,,,MWCNT,7.637446524860199,,,0,4.6831703089373775,data set 1
HDPE,,,MWCNT,16.255937815922206,,,0,17.17035759862756,data set 1
HDPE,,,MWCNT,2.4109386431184676,,,0,0.5297575501928543,data set 1
HDPE,,,MWCNT,17.963675923185583,,,0,30.978845290597175,data set 1
HDPE,,,MWCNT,10.777623476858034,,,0,10.877022030640846,data set 1
HDPE,,,MWCNT,9.600482765260233,,,0,9.987997749068738,data set 1
HDPE,,,MWCNT,12.137537299362267,,,0,12.477677572644055,data set 1
HDPE,,,MWCNT,11.639962411555175,,,0,15.331802730375067,data set 1
HDPE,,,MWCNT,15.29572702311521,,,0,27.952676895032884,data set 1
HDPE,,,MWCNT,23.9829578142507,,,0,63.477395883699245,data set 1
HDPE,,,MWCNT,17.20758063410837,,,0,37.10532545655216,data set 1
HDPE,,,MWCNT,7.304487362256604,,,0,5.137953563381691,data set 1
HDPE,,,MWCNT,19.822050841187313,,,0,35.52148805087942,data set 1
HDPE,,,MWCNT,8.39055350392831,,,0,8.586305843219316,data set 1
HDPE,,,MWCNT,9.47775133177464,,,0,10.893857610083508,data set 1
HDPE,,,MWCNT,17.182331356677572,,,0,25.403067812533603,data set 1
HDPE,,,MWCNT,9.644514793088788,,,0,8.168774381116013,data set 1
HDPE,,,MWCNT,1.0865171185893354,,,0,0.022803802431899268,data set 1
HDPE,,,MWCNT,1.2294623728019085,,,0,0.05350518288293757,data set 1
HDPE,,,MWCNT,12.450048141435627,,,0,9.668706210852013,data set 1
HDPE,,,MWCNT,23.203136948581687,,,0,57.29894563021922,data set 1
HDPE,,,MWCNT,3.6110972903871086,,,0,0.8274373581619546,data set 1
HDPE,,,MWCNT,11.621267996435243,,,0,17.26070485554867,data set 1
HDPE,,,MWCNT,22.526972409462346,,,0,72.03363529351043,data set 1
HDPE,,,MWCNT,11.27076303185239,,,0,8.373391837962883,data set 1
HDPE,,,MWCNT,24.060663514063368,,,0,58.99411056106003,data set 1
HDPE,,,MWCNT,7.1480198197807105,,,0,5.969829232404958,data set 1
HDPE,,,MWCNT,14.265060380882923,,,0,26.260809297030377,data set 1
HDPE,,,MWCNT,17.366044088682568,,,0,22.286932259222827,data set 1
HDPE,,,MWCNT,21.438300349662008,,,0,44.193532536884206,data set 1
HDPE,,,MWCNT,17.529876550687202,,,0,17.547081740548844,data set 1
HDPE,,,MWCNT,15.857105110430082,,,0,26.791288333498525,data set 1
HDPE,,,MWCNT,1.2958807238006795,,,0,0.05156743032510347,data set 1
HDPE,,,MWCNT,16.407787774694974,,,0,17.73432245922593,data set 1
HDPE,,,MWCNT,13.38683779252758,,,0,10.172722607360058,data set 1
HDPE,,,MWCNT,10.777484288069612,,,0,13.06242655588316,data set 1
HDPE,,,MWCNT,14.347305572238277,,,0,15.74204466160849,data set 1
HDPE,,,MWCNT,20.534940751531988,,,0,48.615099109921445,data set 1
HDPE,,,MWCNT,16.890145197116578,,,0,24.35359858690197,data set 1
HDPE,,,MWCNT,14.582505032972358,,,0,21.50515364261282,data set 1
HDPE,,,MWCNT,20.414759304820826,,,0,50.79314035657701,data set 1
HDPE,,,MWCNT,5.409235581033368,,,0,2.8141477153888044,data set 1
HDPE,,,MWCNT,11.060364272803236,,,0,15.149586415625148,data set 1
HDPE,,,MWCNT,7.589988223092998,,,0,3.5131520013170094,data set 1
HDPE,,,MWCNT,9.946639219237293,,,0,10.245439966810295,data set 1
HDPE,,,MWCNT,14.338223859562973,,,0,20.28642428435715,data set 1
HDPE,,,MWCNT,11.22865938338905,,,0,9.169470139656942,data set 1
HDPE,,,MWCNT,10.473285553126843,,,0,8.116833480181741,data set 1
HDPE,,,MWCNT,19.040611236705605,,,0,35.41899196931671,data set 1
HDPE,,,MWCNT,12.278268816078384,,,0,12.609860940099503,data set 1
HDPE,,,MWCNT,12.314887727941446,,,0,13.893748855503981,data set 1
HDPE,,,MWCNT,18.92411903203645,,,0,44.76941542460106,data set 1
HDPE,,,MWCNT,7.515193569029683,,,0,7.049322977816069,data set 1
HDPE,,,MWCNT,21.500398866329967,,,0,40.45964356241519,data set 1
HDPE,,,MWCNT,5.374971577177435,,,0,2.4974107416632694,data set 1
HDPE,,,MWCNT,24.347461108436637,,,0,77.56911819752789,data set 1
HDPE,,,MWCNT,1.1786576255404895,,,0,0.03652377687070585,data set 1
HDPE,,,MWCNT,11.912992476257001,,,0,17.28703550224288,data set 1
HDPE,,,MWCNT,4.944662594888088,,,0,2.489661610974338,data set 1
HDPE,,,MWCNT,16.81820789749822,,,0,20.582434992892434,data set 1
HDPE,,,MWCNT,8.973477892245743,,,0,9.415750123001644,data set 1
HDPE,,,MWCNT,15.873040855799326,,,0,33.620610137944645,data set 1
HDPE,,,MWCNT,19.69428035924992,,,0,21.769195616182632,data set 1
HDPE,,,MWCNT,17.676627410443924,,,0,36.09059791603951,data set 1
HDPE,,,MWCNT,1.885003475467557,,,0,0.25756256915388825,data set 1
HDPE,,,MWCNT,9.275045933541225,,,0,5.224891593287327,data set 1
HDPE,,,MWCNT,9.297461945531907,,,0,9.59231321686591,data set 1
HDPE,,,MWCNT,12.962984961477558,,,0,11.029830191835266,data set 1
HDPE,,,MWCNT,6.305247148847585,,,0,4.148544538185385,data set 1
HDPE,,,MWCNT,12.180139044754915,,,0,10.817087296729428,data set 1
HDPE,,,MWCNT,4.207800938532785,,,0,1.920357635493692,data set 1
HDPE,,,MWCNT,18.43037648286084,,,0,37.705406480430476,data set 1
HDPE,,,MWCNT,6.89490694950901,,,0,5.9799722732569585,data set 1
HDPE,,,MWCNT,1.070306051837904,,,0,0.018085497923606014,data set 1
HDPE,,,MWCNT,7.903374446638433,,,0,5.117816387043931,data set 1
HDPE,,,MWCNT,19.019787180497175,,,0,40.56573023797285,data set 1
HDPE,,,MWCNT,6.57755168310939,,,0,4.539488367922768,data set 1
HDPE,,,MWCNT,10.960065665891012,,,0,12.971861134252627,data set 1
HDPE,,,MWCNT,20.681525845557076,,,0,28.113959227474783,data set 1
HDPE,,,MWCNT,22.698873480469,,,0,36.432503108496775,data set 1
