Run!	Chạy!
Help!	Giúp tôi với!
Go on.	Tiếp tục đi.
Hello!	Chào bạn.
Hurry!	Nhanh lên nào!
I try.	Tôi sẽ thử.
I try.	Tôi sẽ thử xem sao.
Eat it.	Ăn đi.
Eat it.	Ăn nó đi.
Got it!	Hiểu rồi!
Goodbye!	Tạm biệt!
Help me!	Cứu tôi với!
I agree.	Tôi cũng nghĩ như vậy.
Perfect!	Hoàn hảo!
We know.	Chúng tôi biết.
We know.	Chúng ta biết.
You run.	Bạn chạy.
Cheer up.	Đừng có rầu rĩ quá như thế.
He tries.	Hắn thử.
He tries.	Anh thử.
Hurry up.	Thoáng cái chân lên!
I forgot.	Tôi quên mất rồi.
I'll try.	Tôi sẽ thử.
I'll try.	Tôi sẽ thử xem sao.
I'm bald.	Tôi bị hói
I'm busy.	Tôi đang bận.
Too late.	Muộn quá.
Come here.	Lại đây nào.
Come here.	Lại đây.
Come here.	Lại đây đi.
Go to bed.	Đi ngủ đi.
I hate TV.	Tôi ghét ti vi.
I laughed.	Tôi đã cười.
I laughed.	Tôi cười.
I will go.	Tôi sẽ đi.
Is it bad?	Nó có tồi không?
It's cold.	Lạnh.
It's ours.	Đó là của chúng tôi.
It's ours.	Đó là của chúng ta.
Keep back.	Lùi lại.
Keep back.	Lùi lại đi.
Look here.	Lại đây.
She cried.	Nó đã khóc.
She cried.	Cô ấy đã khóc
Sit there.	Hãy ngồi ở đó.
Stay home.	Ở nhà.
What's up?	Gì thế?
What's up?	Có chuyện gì?
Who knows?	Ai mà biết được?
Are you OK?	Bạn có sao không?
Find a job.	Hãy tìm một công việc đi.
Hurry home.	Hãy mau về nhà đi.
I can read.	Tôi đọc được.
I did that.	Tôi đã làm đấy.
I guess so.	Tôi đoán vậy.
I guess so.	Tôi đoán thế.
I hate you.	Tôi ghét anh.
I love her.	Tôi yêu cô ấy.
I love you.	Anh phải lòng em.
I love you.	Tôi thích bạn.
I'm lonely.	Tôi cảm thấy cô đơn.
I'm so fat.	Tôi béo quá.
I'm so fat.	Tôi béo vãi.
It's magic.	Đó là phép thuật.
Let me try.	Để tôi thử.
No kidding?	Không đùa chứ?
Time is up.	Thời gian đã hết.
Time is up.	Hết giờ.
Time is up.	Hết thời gian.
Tom winked.	Tom đã nháy mắt.
Tom winked.	Tom nháy mắt.
Who's here?	Ai đây?
Be punctual.	Hãy đúng giờ.
Don't fight.	Đừng đánh nhau.
Don't fight.	Đừng có mà đánh nhau.
Don't leave!	Đừng đi!
Don't leave!	Đừng đi mà!
Don't leave!	Đừng bỏ đi!
Don't leave!	Đừng bỏ đi mà!
Go to sleep.	Đi ngủ đi.
I heard you.	Tôi nghe bạn rồi.
I like both.	Tôi thích cả hai cái.
I like jazz.	Tôi thích nhạc jazz.
I like math.	Tôi thích toán.
I like peas.	Tôi thích đậu Hà Lan.
I live here.	Tôi sống ở đây.
I need more.	Tôi cần thêm.
I need more.	Tôi cần thêm nữa.
I saw a UFO.	Tôi nhìn thấy UFO.
I saw a dog.	Tôi thấy một con chó.
I'm nervous.	Tôi lo lắng.
I'm not Tom.	Tôi không phải Tom.
I'm not Tom.	Tôi không phải là Tom.
I'm smashed.	Tôi đã say rượu
I'm thirsty.	Tôi khát nước.
It suits me.	Nó vừa với tôi.
Let's do it.	Thực hiện thôi.
May I begin?	Tôi có thể bắt đầu được không?
May I begin?	Tôi bắt đầu được không ạ?
Nobody came.	Không ai tới hết.
Nobody came.	Không ai đến.
She is kind.	Cô ấy là một người tốt bụng.
Spit it out.	Nói thật đi.
Spit it out.	Hãy nói thật đi.
Spit it out.	Hãy nói sự thật đi.
Talk slowly.	Nói chậm thôi.
Talk slowly.	Hãy nói chậm thôi.
Tom saw you.	Tom đã trông thấy bạn.
Tom saw you.	Tom đã nhìn thấy bạn.
Vote for me!	Hãy bầu cho tôi!
Vote for me!	Bầu cho tôi đi!
We miss Tom.	Chúng tôi nhớ Tom.
What's that?	Cái này là cái gì?
What's this?	Đây là cái gì?
You're mine.	Em là của anh.
You're mine.	Anh là của em.
You're mine.	Mày là của tao.
Anybody home?	Có ai ở nhà không?
Anybody home?	Có ai ở nhà không ạ?
Are you cold?	Bạn có lạnh không?
Are you cold?	Bạn lạnh không?
Are you okay?	Bạn có sao không?
Come help me.	Hãy đến cứu tôi!
Come with me.	Đi với tôi.
Don't be shy.	Đừng ngại.
Don't be shy.	Đừng ngượng.
Drive faster.	Lái nhanh hơn đi.
Good evening.	Chào buổi tối.
Hang on, Tom.	Chờ chút, Tom.
I admire Tom.	Tôi ngưỡng mộ Tom.
I am at home.	Tôi đang ở nhà.
I am curious.	Tôi tò mò.
I don't know.	Tôi không biết.
I don't know.	Tôi không hiểu.
I hear music.	Tôi nghe nhạc.
I like bread.	Tôi thích bánh mì.
I like bread.	Tôi thích bánh mỳ.
I won't lose!	Tôi không thua đâu!
I'd buy that.	Lấy cho tôi cái kia.
I'll pay you.	Tôi sẽ trả tiền cho bạn.
I'm innocent.	Tôi vô tội!
I'm innocent.	Tôi không có tội!
I'm innocent.	Tôi trong sạch!
I'm new here.	Tôi là người mới ở đây.
I'm not free.	Tôi không rảnh.
I'm not free.	Em không rảnh.
I'm not free.	Mình không rảnh.
