year,title,genre
1901,Kansas Saloon Smashers,unknown
1901,Love by the Light of the Moon,unknown
1901,The Martyred Presidents,unknown
1901,"Terrible Teddy, the Grizzly King",unknown
1902,Jack and the Beanstalk,unknown
1903,Alice in Wonderland,unknown
1903,The Great Train Robbery,western
1904,The Suburbanite,comedy
1905,The Little Train Robbery,unknown
1905,The Night Before Christmas,unknown
1906,Dream of a Rarebit Fiend,short
1906,From Leadville to Aspen: A Hold-Up in the Rockies,short action/crime western
1906,Kathleen Mavourneen,short film
1907,Daniel Boone,biographical
1907,How Brown Saw the Baseball Game,comedy
1907,Laughing Gas,comedy
1908,The Adventures of Dollie,drama
1908,The Black Viper,drama
1908,A Calamitous Elopement,comedy
1908,The Call of the Wild,adventure
1908,A Christmas Carol,drama
1908,The Fight for Freedom,western
1909,At the Altar,drama
1909,A Drunkard's Reformation,drama
1909,The Golden Louis,drama
1909,The Lure of the Gown,unknown
1910,An Arcadian Maid,drama
1910,A Christmas Carol,unknown
1910,Frankenstein,unknown
1910,"Hemlock Hoax, the Detective",comedy
1910,The House with Closed Shutters,drama
1910,A Lad from Old Ireland,drama
1910,Pocahontas,short fantasy
1910,Ramona,drama
1910,What the Daisy Said,unknown
1910,The Wonderful Wizard of Oz,unknown
1911,Baseball and Bloomers,silent sports
1911,The Black Arrow: A Tale of the Two Roses,drama
1911,Brown of Harvard,drama
1911,For Her Sake,unknown
1911,David Copperfield,drama
1911,The Pasha's Daughter,unknown
1911,Sweet Memories,drama
1912,The Deserter,unknown
1912,Dr. Jekyll and Mr. Hyde,horror
1912,The Land Beyond the Sunset,unknown
1912,The Musketeers of Pig Alley,drama
1912,The New York Hat,unknown
1912,Petticoat Camp,comedy
1912,Put Yourself in His Place,drama
1912,An Unseen Enemy,unknown
1913,Atlantis,unknown
1913,Barney Oldfield's Race for a Life,comedy
1913,Bob's Baby,comedy
1913,Cohen Saves the Flag,comedy
1913,Dr. Jekyll and Mr. Hyde,horror
1913,The Evidence of the Film,crime
1913,The Face at the Window,drama
1913,The Quakeress,drama
1913,The Restless Spirit,drama
1913,The Telephone Girl and the Lady,drama
1914,The Avenging Conscience,"drama, horror"
1914,The Battle of the Sexes,drama
1914,Between Showers,unknown
1914,Brewster's Millions,comedy
1914,A Busy Day,comedy
1914,The Call of the North,adventure
1914,Captain Alvarez,historical drama
1914,Caught in a Cabaret,comedy
1914,Caught in the Rain,comedy
1914,Cinderella,fantasy drama
1914,"Cruel, Cruel Love",comedy
1914,Dough and Dynamite,comedy
1914,The Escape,drama
1914,A Film Johnnie,unknown
1914,A Florida Enchantment,unknown
1914,Gentlemen of Nerve,comedy
1914,Getting Acquainted,comedy
1914,His Father's Rifle,drama
1914,"His Majesty, the Scarecrow of Oz",unknown
1914,Charlie Chaplin,unknown
1914,"Home, Sweet Home",biographical drama
1914,Imar the Servitor,unknown
1914,In the Land of the Head Hunters,documentary drama
1914,The Knockout,comedy
1914,Laughing Gas,comedy
1914,Mabel at the Wheel,comedy
1914,Mabel's Blunder,comedy
1914,Mabel's Married Life,comedy
1914,Mabel's Strange Predicament,comedy
1914,Making a Living,comedy
1914,The Masquerader,comedy
1914,Neptune's Daughter,fantasy
1914,The New Janitor,comedy
1914,The Perils of Pauline,adventure serial
1914,The Property Man,comedy
1914,Recreation,unknown
1914,Rose of the Rancho,western
1914,The Rounders,comedy
1914,Salomy Jane,western
1914,Should a Woman Divorce?,drama
1914,The Squaw Man,western
1914,Sweet and Low,unknown
1914,Those Love Pangs,comedy
1914,Tillie's Punctured Romance,comedy
1914,The Wrath of the Gods,drama
1915,After Five,comedy
1915,Anna Karenina,historical drama
1915,Birth of a Nation,epic
